,movie,year,director,watched,era,tagA,tagB,tagC,tagD,tagE,tagF,tagG,franchise,fansOf,actors,trailer,comment,rating
,Frankenstein,1910,J. Searle Dawley,yes,Silent,Monster,Frankenstein,,,,,,,,,,,5
,Nosferatu,1922,F. W. Murnau,yes,Silent,Monster,Vampire,Count Orlock,,,,,,"Dracula, Vampires","Max Schreck, Alexander Granach, Gustav von Wangenheim",,comment is comment,
,The Phantom of The Opera,1925,"Lon Chaney, Rupert Julian, Edward Sedgwick, Ernst Laemmle",yes,Silent,Lon Chaney,Killer,,,,,,,"Dracula, Frankenstein, Wolfman","Lon Chaney, Mary Philbin, Norman Kerry",,,
,London After Midnight,1927,Tod Browning,no,Silent,,Lon Chaney,,,,,,,,,,,
,Dr. Jekyll & Mr. Hyde,1931,Rouben Mamoulian,yes,Golden,Monster,Mad Scientist,,,,,,,"Monster, Mad Scientist","Fredric March, Miriam Hopkins, Rose Hobart",,,
,Dracula,1931,"Tod Browning, Karl Freund",yes,Golden,Monster,Vampire,,,,,,Universal,Vampires,"Bela Lugosi, Helen Chandler, David Manners",,,
,Frankenstein,1931,James Whale,yes,Golden,Monster,Frankenstein,Trilogy,Boris Karloff,,,,Universal,"Monster, Mad Scientist","Colin Clive, Mae Clarke, Boris Karloff",,,
,Svengali,1931,Archie Mayo,yes,Golden,Paranormal,Psycho,,,,,,,,"John Barrymore, Marian Marsh, Bramwell Fletcher",,,
,The Drums of Jeopardy,1931,George B. Seitz,yes,Golden,Mad Scientist,Revenge,,,,,,,,"Warner Oland, June Collyer, Lloyd Hughes",,,
,Drácula,1931,George Melford,no,Golden,,,,,,,,,,,,,
,M,1931,https://www.youtube.com/watch?v=TdSL9FvCv0U,no,Golden,,,,,,,,,,,,,
,Murder by the Clock,1931,https://www.youtube.com/watch?v=PHIl5Yi99SI,no,Golden,,,,,,,,,,,,,
,The Mad Genius,1931,,no,Golden,,,,,,,,,,,,,
,Doctor X,1932,Michael Curtiz,yes,Golden,Occult,Mad Scientist,Killer,,,,,,"Mad Scientist, Revenge","Lionel Atwill, Fay Wray, Lee Tracy",,,
,Freaks,1932,Tod Browning,yes,Golden,Circus,Body,,,,,,,,,,,
,Island of Lost Souls,1932,Erle C. Kenton,yes,Golden,Mad Scientist,Monster,Moreau,,,,,,,"Charles Laughton, Bela Lugosi, Richard Arlen, Leila Hyams, Kathleen Burke",,,
,Murders in the Rue Morgue,1932,Robert Florey,yes,Golden,Mad Scientist,Monster,Animal,,,,,Poe,"Mystery, Creature","Bela Lugosi, Sidney Fox, Leon Ames",,,
,The Monster Walks,1932,Frank R. Strayer,yes,Golden,Monster,Ape,,,,,,,,,,,
,The Mummy,1932,Karl Freund,yes,Golden,Monster,Mummy,,,,,,Universal,"Monster, Occult","Boris Karloff, Zita Johann, David Manners",,,
,The Old Dark House,1932,James Whale,yes,Golden,Haunted,,,,,,,,"Ghosts, Haunted House","Boris Karloff, Melvyn Douglas, Charles Laughton",,,
,White Zombie,1932,Victor Halperin,yes,Golden,Zombie,,,,,,,,"Zombies, Castles","Bela Lugosi, Madge Bellamy, Joseph Cawthorn",,,
,The Mask of Fu Manchu,1932,,no,Golden,,,,,,,,,,,,,
,The Most Dangerous Game,1932,https://www.youtube.com/watch?v=_DXLTw22HOQ,no,Golden,,,,,,,,,,,,,
,Vampyr,1932,https://www.youtube.com/watch?v=1QV96_is9eQ,no,Golden,,,,,,,,,,,,,
,King Kong,1933,"Merian C. Cooper, Ernest B. Schoedsack",yes,Golden,Animal,Big,Monster,Big Monster,,,,,"Giant Monster, Adventure","Fay Wray, Robert Armstrong, Bruce Cabot",,,
,Mystery of the Wax Museum,1933,Michael Curtiz,yes,Golden,Gothic,Body,Killer,,,,,,,,,,
,Son of Kong,1933,Ernest B. Schoedsack,yes,Golden,Animal,Big,Monster,Big Monster,,,,,"Giant Monster, Adventure","Robert Armstrong, Helen Mack, Frank Reicher, John Marston, Victor Wong, Edward Brady",,,
,The Ghoul,1933,T. Hayes Hunter,yes,Golden,Ghoul,Zombie,Occult,,,,,,,Boris Karloff,,,
,The Invisible Man,1933,James Whale,yes,Golden,Mad Scientist,,,,,,,Universal,"Mad Scientist, Monster","Gloria Stuart, Claude Rains, William Harrigan, Dudley Digges, Una O'Connor, Henry Travers, Forrester Harvey",,,
,Murders in the Zoo,1933,,no,Golden,,,,,,,,,,,,,
,Secret of the Blue Room,1933,,no,Golden,,,,,,,,,,,,,
,Supernatural,1933,,no,Golden,,,,,,,,,,,,,
,The Testament of Dr. Mabuse,1933,,no,Golden,,,,,,,,,,,,,
,The Black Cat,1934,Edgar G. Ulmer,yes,Golden,Occult,,,,,,,Poe,"Madman, Revenge","Boris Karloff, Béla Lugosi",,,
,Black Moon,1934,,no,Golden,,,,,,,,,,,,,
,Maniac,1934,,no,Golden,,,,,,,,,,,,,
,The 9th Guest,1934,,no,Golden,,,,,,,,,,,,,
,The Ghost Walks,1934,,no,Golden,,,,,,,,,,,,,
,The Mysterious Mr. Wong,1934,,no,Golden,,,,,,,,,,,,,
,The Phantom of the Convent,1934,,no,Golden,,,,,,,,,,,,,
,The Return of Chandu,1934,,no,Golden,,,,,,,,,,,,,
,Two Monks,1934,,no,Golden,,,,,,,,,,,,,
,Bride Of Frankenstein,1935,James Whale,yes,Golden,Monster,Frankenstein,Trilogy,,,,,Universal,"Frankenstein, Monster","Boris Karloff, Colin Clive, Valerie Hobson, Elsa Lanchester, Ernest Thesiger, E. E. Clive, Oliver Peters Heggie",,,
,The Raven,1935,Lew Landers,yes,Golden,Mad Scientist,,,,,,,Poe,,"Boris Karloff, Bela Lugosi, Irene Ware, Lester Matthews, Inez Courtney",,,
,Mad Love,1935,,no,Golden,,,,,,,,,,,,,
,Mark of the Vampire,1935,,no,Golden,,,,,,,,,,,,,
,Mystery of Edwin Drood,1935,,no,Golden,,,,,,,,,,,,,
,Phantom Ship,1935,,no,Golden,,,,,,,,,,,,,
,The Black Room,1935,,no,Golden,,,,,,,,,,,,,
,The Crime of Doctor Crespi,1935,,no,Golden,,,,,,,,,,,,,
,The Ghost Goes West,1935,,no,Golden,,,,,,,,,,,,,
,Werewolf of London,1935,,no,Golden,,,,,,,,,,,,,
,Sweeney Todd The Demon Barber of Fleet Street,1936,George King,yes,Golden,Killer,,,,,,,,,"Tod Slaughter, Stella Rho, John Singer, Eve Lister, Bruce Seton",,,
,Dracula's Daughter,1936,,no,Golden,,,,,,,,,,,,,
,The Crimes of Stephen Hawke,1936,,no,Golden,,,,,,,,,,,,,
,The Devil-Doll,1936,,no,Golden,,,,,,,,,,,,,
,The Invisible Ray,1936,,no,Golden,,,,,,,,,,,,,
,The Man of Stone,1936,,no,Golden,,,,,,,,,,,,,
,The Man Who Lived Again,1936,,no,Golden,,,,,,,,,,,,,
,The Walking Dead,1936,,no,Golden,,,,,,,,,,,,,
,It's Never Too Late to Mend,1937,,no,Golden,,,,,,,,,,,,,
,Son of Frankenstein,1939,Rowland V. Lee,yes,Golden,Monster,Frankenstein,Trilogy,,,,,Universal,,,,,
,The Man They Could Not Hang,1939,Nick Grinde,yes,Golden,Puzzle,Revenge,,,,,,,,,,,
,The Return of Doctor X,1939,Vincent Sherman,yes,Golden,Mad Scientist,,,,,,,,,,,,
,The Cat and the Canary,1939,,no,Golden,,,,,,,,,,,,,
,The Face at the Window,1939,,no,Golden,,,,,,,,,,,,,
,The Gorilla,1939,,no,Golden,,,,,,,,,,,,,
,The Human Monster,1939,,no,Golden,,,,,,,,,,,,,
,The Phantom Creeps,1939,https://www.youtube.com/watch?v=xfg-lDF3-0w,no,Golden,,,,,,,,,,,,,
,Dr. Cyclops,1940,Ernest B. Schoedsack,yes,Golden,Mad Scientist,Body,,,,,,,,,,,
,The Devil Bat,1940,Jean Yarbrough,yes,Golden,Mad Scientist,Monster,,,,,,,,,,,
,The Mummy's Hand,1940,Christy Cabanne,yes,Golden,Monster,Mummy,,,,,,,,,,,
,Before I Hang,1940,,no,Golden,,,,,,,,,,,,,
,Black Friday,1940,,no,Golden,,,,,,,,,,,,,
,Chamber of Horrors,1940,,no,Golden,,,,,,,,,,,,,
,The Invisible Man Returns,1940,,no,Golden,,,,,,,,,,,,,
,The Man with Nine Lives,1940,,no,Golden,,,,,,,,,,,,,
,Invisible Ghost,1941,Joseph H. Lewis,yes,Golden,Mad Scientist,,,,,,,,,,,,
,The Wolf Man,1941,George Waggner,yes,Golden,Monster,Werewolf,,,,,,,,,,,
,Among the Living,1941,,no,Golden,,,,,,,,,,,,,
